Nombre,Empresa,Organismo,Sit.General,Tipo,Frac,N.Reg,Sustancia,Superf,Uds,Secc
---,"FADESA INMOBILIARIA, S.A.",LUGO,Trámite/autorización,A.Min/Termal,00,15,"ATE, AMM",0.0,H,B
"AMPL.A MATILDE, DSIA.A","HISPANIBAL, S.L.",CANTABRIA,Otorgado,C.Exp.Directa,00,14948,ZN,17.46,H,C
"AMTO A RUMOROSO, 2ª DSIA  A","SOLVAY QUIMICA, S.L.",CANTABRIA,Otorgado,C.Exp.Directa,01,14029,SAL,12.25,H,C
"ANDREA ,DSIA. A","HISPANIBAL, S.L.",CANTABRIA,Otorgado,C.Exp.Directa,00,5374,ZN,4.7,H,C
"ANDREA, 2ª DSIA. A","HISPANIBAL, S.L.",CANTABRIA,Otorgado,C.Exp.Directa,00,13176,ZN,1.5,H,C
BRONCHALES 1,AYUNTAMIENTO DE BRONCHALES,TERUEL,Autorizado,A.Min/Termal,00,9003,AGM,871.59,H,B
EL ANTOLÍN,"ENERGÍAS RENOVABLES DEL GUADIATO, S.L.",CORDOBA,Autorizado,Escombrera,00,101,,40.0,H,B
EL CAMPANO,"EXCAVACIONES Y CONSTRUCCIONES SAYMON, S.L.",SEVILLA,Autorizado,Sec. A),00,392,CAL,7.0,H,A
LA ARENOSA,"ARENAS SILÍCEAS ROJAS, S.A. (ASIROSA)",CADIZ,Trámite/otorgamiento,C.Exp.Directa,00,1460,ASI,3.0,C,C
LA DEHESA 2º AMPLIACION,"ÁRIDOS PÉREZ SIMARRO, S.L.",ALBACETE,Autorizado,Sec. A),02,52,"GRV, ARN",10.45,H,A
LA ZAIDA BUJARALOZ 2 FRACCIÓN 1ª,"ENDESA GENERACION, S.A.",ZARAGOZA,Caducado,E.Subterránea,00,6,ESU,2790.0,C,B
"LAS VIÑAS, (Mª DEL CARMEN)","FERNANDEZ ROSILLO Y CIA, S.L",CANTABRIA,Autorizado,Sec. A),60,2,CAL,5.6,H,A
"MAR ,DEMASIA. A","SOLVAY QUIMICA, S.L.",CANTABRIA,Otorgado,C.Exp.Directa,00,14739,"FE , SAL",1.0,H,C
MILLARES,"CONSORCIO MINERO DE LA SAGRA, S.L.",TOLEDO,Trámite/otorgamiento,C.Exp.Derivada,03,3821,ARC,43.0,C,C
REPES AMPLIACIÓN,"EXCAVACIONES Y TRANSPORTES REPES, S.L.",TOLEDO,Autorizado,Sec. A),00,712,"GRV, ARN",11.95,H,A
"REQUEJADA, 2ª DSIA. A","SOLVAY QUIMICA, S.L.",CANTABRIA,Otorgado,C.Exp.Directa,00,14735,"SAL, FE",10.9,H,C
SAN PEDRO,"MINING HILL'S, S.L.",CIUDAD REAL,Otorgado,P.Investigación,00,12905,TOC,294.0,C,C
SAN PEDRO,SICOR 2000  S.L.,ZARAGOZA,Otorgado,C.Exp.Directa,00,2492,ASI,6.0,C,C
VIRGEN DEL ROSARIO,"MÁRMOLES NATURALES MACAEL, S. L.",ALMERIA,Otorgado,C.Exp.Derivada,01,39354,SET,14.0,H,C
¿BETANCURIA?,,LAS PALMAS,,A.Min/Termal,00,2253,,1.0,H,B
1 AMP A ALEMANA,VIAS Y ASFALTOS CIUDAD REAL S.L.,CIUDAD REAL,Otorgado,C.Exp.Directa,00,11855,POM,257.0,H,C
1 AMP A FELISA,,LEON,Otorgado,C.Exp.Derivada,00,7724,CBN,19.0095,H,D
1 AMP A LABERINTO,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,9609,CBN,66.0137,H,D
1 AMP A LILLO LUMERAS 4,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,8419,CBN,4.0049,H,D
1 AMP A MANOLO 7,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,6314,CBN,9.0073,H,D
1 AMP A MARIA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,5715,CBN,4.0037,H,D
1 AMP A VICTORINA,CARBONES ARLANZA SL,LEON,Otorgado,C.Exp.Derivada,00,5152,CBN,44.065,H,D
1 AMPLIACION A NUEVA PERDIZ,"Caolines de la Espina S.L., A. DE LA SERNA Y CÍA S.A.",ASTURIAS,Otorgado,C.Exp.Derivada,00,29651,CAN,680.0,H,C
1 AMPLIACION A SIERRA MANTECA,NO PROCEDE/DESCONOCIDA,ASTURIAS,Caducado,C.Exp.Derivada,00,29522,ALC,315.0,H,C
1 COMPL A NUEVA PETRONIL,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,20,4407,CBN,31.0266,H,D
1 COMPLEMENTO A MONTARAZ,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,10079,CBN,50.0411,H,D
1 D A 3 NUEVA CARDONA,IBERPOTASH (CENTRO SURIA),LERIDA,Otorgado,C.Exp.Derivada,00,2879,POT,2.9,H,C
1 D A ALICIA,"UNION MINERA DEL NORTE, S.A",LEON,Trámite/otorgamiento,C.Exp.Derivada,00,8464,CBN,12.7944,H,D
1 D A ALLER,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,9528,CBN,10.6176,H,D
1 D A AMP N 18,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,10,9840,CBN,1.536,H,D
1 D A ANITA,VILORIA HERMANOS S.A,LEON,Otorgado,C.Exp.Derivada,20,9817,CBN,2.2703,H,D
1 D A BUIK,"JOSE , GARCIA  RODRIGUEZ",LEON,Caducado,C.Exp.Derivada,00,9339,CBN,1.5073,H,D
1 D A CABOACHES,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,3235,CBN,12.0349,H,D
1 D A CARMEN,"ANTONIO , VALLE  MENENDEZ",LEON,Caducado,C.Exp.Derivada,10,11760,,15.8599,H,C
1 D A CASUALIDAD,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,8519,CBN,15.5597,H,D
1 D A CHACENA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,3230,CBN,1.671,H,D
1 D A CONSTANCIA,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,9766,CBN,10.5372,H,D
1 D A DON JOSE,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,9831,CBN,4.4796,H,D
1 D A JOSE,ALTO BIERZO S.A,LEON,Otorgado,C.Exp.Derivada,00,7580,CBN,11.1037,H,D
1 D A JULIA Y TERESA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,4814,CBN,24.0137,H,D
1 D A JULITA,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,8978,CBN,16.5886,H,D
1 D A LA BUIRIZA,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,6125,CBN,4.9298,H,D
1 D A LA ESCONDIDA,HIJOS DE BALDOMERO GARCIA S.A,LEON,Otorgado,C.Exp.Derivada,00,5960,CBN,8.0856,H,D
1 D A LA PERLA,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,7736,CBN,16.9309,H,D
1 D A LABERINTO,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,10109,CBN,5.5915,H,D
1 D A LEON OESTE 1 FRA F,,LEON,Caducado,C.Exp.Derivada,61,13554,CBN,22.5404,H,D
1 D A LILLO LUMERAS,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,8371,CBN,9.4547,H,D
1 D A LILLO LUMERAS 2,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,10,8373,CBN,0.8888,H,D
1 D A LILLO LUMERAS 3,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,10,5797,CBN,454.8418,H,D
1 D A LILLO LUMERAS 4,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,8421,CBN,13.8762,H,D
1 D A LILLO LUMERAS 5,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,8466,CBN,4.431,H,D
1 D A MANOLO,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,5626,CBN,20.8847,H,D
1 D A MARCELINA 2,CARBONES ARLANZA SL,LEON,Otorgado,C.Exp.Derivada,10,7931,CBN,8.65,H,D
1 D A MARIA DEL CONSUELO,"JOSE , MENDEZ  ESNAL",LEON,Otorgado,C.Exp.Derivada,00,9900,CBN,1.7149,H,D
1 D A MARIA DEL ROSARIO,"LUIS , FERNANDEZ SILVAN",LEON,Otorgado,C.Exp.Derivada,10,10867,CBN,1.5205,H,D
1 D A MARIATE 1,HULLERA OESTE DE SABERO S.A,LEON,Caducado,C.Exp.Derivada,10,11252,CBN,20.4675,H,D
1 D A MOLSOSA,IBERPOTASH (CENTRO SURIA),LERIDA,Otorgado,C.Exp.Derivada,00,2726,POT,10.1,H,C
1 D A NUEVA CARDONA,IBERPOTASH (CENTRO SURIA),BARCELONA,Otorgado,C.Exp.Derivada,00,2423,POT,29.7,H,C
1 D A NUEVA CURRILLO,ALTO BIERZO S.A,LEON,Otorgado,C.Exp.Derivada,01,9890,CBN,4.0344,H,D
1 D A NUEVA JULIA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,4816,CBN,9.0378,H,D
1 D A NUEVA MANUELA,CARBONES SAN ANTONIO S.L,LEON,Caducado,C.Exp.Derivada,10,9850,CBN,1.4012,H,D
1 D A OLVIDADA,ANTRACITAS DEL BIERZO S.L,LEON,Otorgado,C.Exp.Derivada,00,7336,CBN,28.8975,H,D
1 D A PETRA FRA 1,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,10,6675,CBN,27.0564,H,D
1 D A PETRA FRA 2,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,20,6675,CBN,0.8584,H,D
1 D A PETRONILA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,4824,CBN,54.036,H,D
1 D A RAMONA,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,9767,CBN,6.9315,H,D
1 D A RENUNCIACION,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,10,10094,CBN,3.8411,H,D
1 D A ROMULO,SAMCA,TERUEL,Otorgado,C.Exp.Directa,00,4420,CBN,3.0,H,D
1 D A S ANDRES,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,10,8393,CBN,1.257,H,D
1 D A SAMPASALAS,IBERPOTASH (CENTRO SURIA),LERIDA,Otorgado,C.Exp.Derivada,00,2889,POT,1.6,H,C
1 D A SEGUNDA,VIRGILIO RIESGO S.A,LEON,Caducado,C.Exp.Derivada,10,8361,CBN,9.6052,H,D
1 D A SEGUNDA NOVENA,VENCOVE S.A,LEON,Otorgado,C.Exp.Derivada,10,4751,CBN,6.7481,H,D
1 D A SELLES,IBERPOTASH (CENTRO SURIA),LERIDA,Otorgado,C.Exp.Derivada,00,2722,POT,4.1,H,C
1 D AMP A SAN ANDRES,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,10,9538,CBN,3.351,H,D
1 D AMP PEDRAFORCA,"CARBONES PEDRAFORCA, S.A.",BARCELONA,Otorgado,C.Exp.Derivada,00,2936,CBN,1.2,H,D
1 D.A HISPANO,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,10065,CBN,3.0272,H,D
1 D.A MARIA JESUS,CARBONES BALIN S.L,LEON,Otorgado,C.Exp.Derivada,10,10364,CBN,0.9567,H,D
1 D.A NUMERO UNO,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,10,10054,CBN,1.8206,H,D
1 D.A PILAR ALFONSO,ANTRACITAS DE BESANDE S.A,LEON,Otorgado,C.Exp.Derivada,00,10017,CBN,12.5673,H,D
1 DEMASIA A AUMTO.A 2 SAN JUAN,HUNOSA,ASTURIAS,Otorgado,C.Exp.Derivada,00,21852,HUL,3.44,H,D
1 DEMASIA A EL BRAVO,"CARBONES ARLANZA, S.A",LEON,Otorgado,C.Exp.Derivada,01,9593,CBN,21.6817,H,D
1 DEMASIA A ESCOBAL TERCERO,,ASTURIAS,Caducado,C.Exp.Derivada,00,16588,,4.5312,H,D
1 DEMASIA A NUEVA ORTIGOSA,HUNOSA,ASTURIAS,Otorgado,C.Exp.Derivada,00,10043,HUL,3.38,H,D
1 DEMASIA A PARISITO,"EXCAVACIONES UCEDIÑOS, S. L.",LEON,Trámite/otorgamiento,C.Exp.Directa,01,9456,PIZ,47.0001,C,C
1 DEMASIA A SAN FRUCTUOSO,,ASTURIAS,Caducado,C.Exp.Derivada,00,13414,,0.0,H,D
1 DEMASIA A SOLANA PRIMERA,HUNOSA,ASTURIAS,Otorgado,C.Exp.Derivada,00,15199,HUL,0.5,H,D
1 DSIA. A ESTA E LA MIA,,CANTABRIA,Caducado,C.Exp.Directa,01,15093,LIN,1.0,H,D
1 Y 2 D A TERESA,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,10,5570,CBN,4.7492,H,D
10 D A CHACEANA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,10077,CBN,1.2485,H,D
11 D A CHACEANA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,10084,CBN,9.9365,H,D
12276,CANTERAS REUNIDAS ASOCIACIÓN PROFESIONAL,BADAJOZ,Otorgado,C.Exp.Directa,08,12276,GRT,29.79,H,C
1291-10,"SÍLICES GILARRANZ, S.A.",SEGOVIA,Trámite/otorgamiento,C.Exp.Derivada,10,1291,"TOC, SIL",431.3096,C,C
1ª AMPLIACIÓN  MATAGALLAR,SEGURA S.L.,SEVILLA,Trámite/otorgamiento,C.Exp.Derivada,00,7681,CAL,2.0,C,C
